"title","body","image","Taxonomy type","taxonomy design"
"17 18 1",,"17-18_1.jpg","Beveled Stained",
"27 28 3",,"27-28_3.jpg","Beveled Stained",
"19 20 3",,"19-20_3.jpg","Beveled Stained",
"43 44 5",,"43-44_5.jpg","Beveled Stained",
"39 40 1",,"39-40_1.jpg","Beveled Stained",
"45 46 1",,"45-46_1.jpg","Beveled Stained",
"37 38 1",,"37-38_1.jpg","Beveled Stained",
"15 16 7",,"15-16_7.jpg","Beveled Stained",
"07 08 1",,"07-08_1.jpg","Beveled Stained",
"33 34 3",,"33-34_3.jpg","Beveled Stained",
"09 10 5",,"09-10_5.jpg","Beveled Stained",
"23 24 5",,"23-24_5.jpg","Beveled Stained",
"03 04 2",,"03-04_2.jpg","Beveled Stained",
"11 12 1",,"11-12_1.jpg","Beveled Stained",
"41 42 4",,"41-42_4.jpg","Beveled Stained",
"37 38 4",,"37-38_4.jpg","Beveled Stained",
"13 14 1",,"13-14_1.jpg","Beveled Stained",
"05 06 1",,"05-06_1.jpg","Beveled Stained",
"31 32 2",,"31-32_2.jpg","Beveled Stained",
"13 14 5",,"13-14_5.jpg","Beveled Stained",
"07 08 4",,"07-08_4.jpg","Beveled Stained",
"03 04 1",,"03-04_1.jpg","Beveled Stained",
"07 08 3",,"07-08_3.jpg","Beveled Stained",
"29 30 3",,"29-30_3.jpg","Beveled Stained",
"21 22 5",,"21-22_5.jpg","Beveled Stained",
"11 12 3",,"11-12_3.jpg","Beveled Stained",
"29 30 4",,"29-30_4.jpg","Beveled Stained",
"31 32 1",,"31-32_1.jpg","Beveled Stained",
"15 16 2",,"15-16_2.jpg","Beveled Stained",
"11 12 4",,"11-12_4.jpg","Beveled Stained",
"05 06 4",,"05-06_4.jpg","Beveled Stained",
"25 26 5",,"25-26_5.jpg","Beveled Stained",
"03 04 3",,"03-04_3.jpg","Beveled Stained",
"33 34 6",,"33-34_6.jpg","Beveled Stained",
"09 10 4",,"09-10_4.jpg","Beveled Stained",
"05 06 2",,"05-06_2.jpg","Beveled Stained",
"19 20 1",,"19-20_1.jpg","Beveled Stained",
"21 22 4",,"21-22_4.jpg","Beveled Stained",
"23 24 2",,"23-24_2.jpg","Beveled Stained",
"19 20 2",,"19-20_2.jpg","Beveled Stained",
"25 26 4",,"25-26_4.jpg","Beveled Stained",
"23 24 1",,"23-24_1.jpg","Beveled Stained",
"09 10 2",,"09-10_2.jpg","Beveled Stained",
"43 44 2",,"43-44_2.jpg","Beveled Stained",
"05 06 5",,"05-06_5.jpg","Beveled Stained",
"35 36 4",,"35-36_4.jpg","Beveled Stained",
"25 26 3",,"25-26_3.jpg","Beveled Stained",
"41 42 3",,"41-42_3.jpg","Beveled Stained",
"43 44 1",,"43-44_1.jpg","Beveled Stained",
"13 14 4",,"13-14_4.jpg","Beveled Stained",
"09 10 3",,"09-10_3.jpg","Beveled Stained",
"17 18 2",,"17-18_2.jpg","Beveled Stained",
"43 44 4",,"43-44_4.jpg","Beveled Stained",
"17 18 3",,"17-18_3.jpg","Beveled Stained",
"27 28 1",,"27-28_1.jpg","Beveled Stained",
"15 16 3",,"15-16_3.jpg","Beveled Stained",
"41 42 2",,"41-42_2.jpg","Beveled Stained",
"21 22 3",,"21-22_3.jpg","Beveled Stained",
"23 24 4",,"23-24_4.jpg","Beveled Stained",
"33 34 4",,"33-34_4.jpg","Beveled Stained",
"21 22 2",,"21-22_2.jpg","Beveled Stained",
"07 08 2",,"07-08_2.jpg","Beveled Stained",
"35 36 5",,"35-36_5.jpg","Beveled Stained",
"35 36 3",,"35-36_3.jpg","Beveled Stained",
"27 28 2",,"27-28_2.jpg","Beveled Stained",
"25 26 2",,"25-26_2.jpg","Beveled Stained",
"41 42 1",,"41-42_1.jpg","Beveled Stained",
"33 34 5",,"33-34_5.jpg","Beveled Stained",
"33 34 2",,"33-34_2.jpg","Beveled Stained",
"39 40 3",,"39-40_3.jpg","Beveled Stained",
"29 30 2",,"29-30_2.jpg","Beveled Stained",
"45 46 2",,"45-46_2.jpg","Beveled Stained",
"05 06 3",,"05-06_3.jpg","Beveled Stained",
"21 22 1",,"21-22_1.jpg","Beveled Stained",
"31 32 3",,"31-32_3.jpg","Beveled Stained",
"23 24 3",,"23-24_3.jpg","Beveled Stained",
"35 36 2",,"35-36_2.jpg","Beveled Stained",
"15 16 4",,"15-16_4.jpg","Beveled Stained",
"15 16 1",,"15-16_1.jpg","Beveled Stained",
"29 30 5",,"29-30_5.jpg","Beveled Stained",
"39 40 4",,"39-40_4.jpg","Beveled Stained",
"39 40 2",,"39-40_2.jpg","Beveled Stained",
"35 36 1",,"35-36_1.jpg","Beveled Stained",
"45 46 3",,"45-46_3.jpg","Beveled Stained",
"29 30 6",,"29-30_6.jpg","Beveled Stained",
"13 14 3",,"13-14_3.jpg","Beveled Stained",
"25 26 1",,"25-26_1.jpg","Beveled Stained",
"11 12 5",,"11-12_5.jpg","Beveled Stained",
"31 32 4",,"31-32_4.jpg","Beveled Stained",
"15 16 6",,"15-16_6.jpg","Beveled Stained",
"29 30 1",,"29-30_1.jpg","Beveled Stained",
"43 44 3",,"43-44_3.jpg","Beveled Stained",
"37 38 2",,"37-38_2.jpg","Beveled Stained",
"15 16 5",,"15-16_5.jpg","Beveled Stained",
